country,region,Antisemitism Index,"Population, total","Population, female (% of total)","Population, male (% of total)",GDP per capita (current US$),Internet users (per 100 people),"Labor force, female (% of total labor force)",Official entrance age to pre-primary education (years),"Unemployment, total (% of total labor force)","Unemployment, female (% of female labor force)",Democracy Index
Senegal,Muslim-majority,53.0,13028315.0,50.98167509529512,49.01832490470488,959.9490679537133,11.003806068076923,38.73444302658774,3.076923076923077,9.715384483337411,12.976923062251148,61.5
Serbia,Eastern/Central/Southern Europe,42.0,7272324.461538462,51.11001930474186,48.889980695258146,5360.232447552273,43.30379318538462,43.467999666886456,3.0,19.07692315028264,21.4846153992873,67.1
Singapore,Asia,16.0,4987183.615384615,50.56031783843829,49.43968216156171,44730.936992095034,71.06494228538462,43.2713779532037,3.0,3.538461556801427,3.815384608048658,60.300000000000004
Slovenia,Eastern/Central/Southern Europe,27.0,2037873.4615384615,50.68529847558021,49.31470152441979,22474.93079735408,62.99405950769231,46.018364792992244,3.0,7.2769231062669,7.846153882833625,75.7
South Africa,Sub-Saharan Africa,38.0,51164171.68811841,50.9040105559868,49.0959894440132,6241.16505006974,26.954253214,44.399772587249124,5.769230769230769,24.223077187171363,26.83846180255597,78.2
"Korea, Rep.",Asia,53.0,49606027.84615385,49.89179709603145,50.10820290396855,22776.12508913401,82.45547099000001,41.178741786350265,4.0,3.4692307802347058,3.069230776566724,80.60000000000001
Spain,Eastern/Central/Southern Europe,29.0,45738573.538461536,50.70066990994043,49.29933009005957,29456.390191660168,63.78045632846154,43.99078981631571,3.0,17.261538432194637,18.792307706979607,80.5
Sweden,Western Europe/North America,4.0,9393489.384615384,50.20494641780056,49.79505358219943,52160.83482595552,89.60466171769232,47.46895374876998,3.0,7.461538461538462,7.346153846153846,97.30000000000001
Switzerland,Western Europe/North America,26.0,7839996.461538462,50.77603729063715,49.22396270936286,73232.84829077643,81.24751168307694,46.03114950518109,5.0,4.200000011003935,4.623076915740967,90.9
Tanzania,Sub-Saharan Africa,12.0,46402283.0,50.63732368358288,49.36267631641712,688.9092860539271,4.125198074692308,50.00361180624126,5.0,2.723076930412879,3.4692307802347058,57.699999999999996
Thailand,Asia,13.0,67118382.6923077,50.99367232783626,49.00632767216375,4750.02744796989,24.951926183076925,45.883222609866046,3.0,1.061538471625402,1.0000000045849728,53.9
Trinidad and Tobago,Sub-Saharan Africa,24.0,1328394.923076923,50.52885552507588,49.47114447492412,16624.779512311245,48.61664176307692,41.94950800423233,3.0,5.276923124606792,6.738461494445803,69.9
Tunisia,Muslim-majority,86.0,10666685.923076924,50.402842039102744,49.59715796089726,3878.3166095024694,32.04395568876923,26.740285044632046,3.0,14.415384439321668,20.461538681617167,63.099999999999994
Turkey,Muslim-majority,69.0,72766096.84615384,50.810544567676146,49.189455432323854,10100.586818690757,37.31372489076924,28.91829286805498,3.0,9.88461538461538,10.830769172081581,51.2
United Arab Emirates,Muslim-majority,80.0,7450686.076923077,27.07033787806047,72.92966212193954,40125.02473826067,69.27933038384616,11.828058884432455,4.0,3.7769230329073404,9.976923025571384,26.400000000000002
Uganda,Sub-Saharan Africa,16.0,34155753.23076923,50.36563037793526,49.63436962206474,520.450396354573,10.620621371692307,47.50636836716464,3.0,2.3846153479356014,1.869230738052954,52.199999999999996
United Kingdom,Western Europe/North America,8.0,62759594.461538464,50.876277212736404,49.12372278726359,42875.667564490104,82.1200152,46.01327298260313,3.0,6.200000066023606,5.692307728987473,83.10000000000001
Ukraine,Eastern/Central/Southern Europe,38.0,46019667.0,53.76154612669094,46.23845387330904,2833.792401644016,24.848475856153847,47.87041674122366,3.3076923076923075,7.884615494654729,6.869230893942025,54.2
Uruguay,Latin America,33.0,3376461.230769231,51.75223873456775,48.24776126543226,11251.123643315677,44.927670587692305,44.424466709875944,3.0,8.453846197861882,11.015384600712698,81.7
United States,Western Europe/North America,9.0,308661610.46153843,50.59826765866524,49.40173234133476,49787.59462300584,71.76214637384615,45.921728385818,3.0,6.561538512890156,6.246153868161715,81.1
"Venezuela, RB",Latin America,30.0,28995037.384615384,50.079936547466325,49.92006345253368,10226.678371454516,36.615500780153845,39.4888544225083,3.0,8.49230769964365,9.699999992664042,50.7
Vietnam,Asia,6.0,87000515.38461539,50.63593231944684,49.36406768055316,1406.3293257804364,29.298641869846158,48.40007384413897,3.0,2.207692283850449,2.253846150178176,34.1
"Yemen, Rep.",Muslim-majority,88.0,23687344.384615384,49.471296679632545,50.52870332036745,1184.6860272673896,12.381058677076924,12.436357289118,3.0,16.430769333472618,30.184615501990688,27.9
